vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,17.857477,-7.91
1,144,573,44.744385,11.816203,17.644861,-11.65
2,265,578,44.716986,12.508507,17.809713,-18.01
3,387,583,44.685040,13.200039,17.238821,-19.46
4,509,590,44.648555,13.890682,18.505604,-22.22
5,630,597,44.607542,14.580319,19.377108,-25.89
6,27,482,45.259591,11.152480,20.445143,-2.37
7,150,486,45.236517,11.851905,19.141768,-9.36
8,273,491,45.208842,12.550657,17.675442,-12.12
9,396,497,45.176574,13.248614,17.841497,-14.67
10,518,503,45.139723,13.945657,19.629791,-21.83
11,641,511,45.098298,14.641667,21.306173,-21.92
12,32,396,45.752281,11.182268,22.871660,-3.62
13,156,400,45.728973,11.888281,21.631037,-5.17
14,280,405,45.701019,12.593601,18.624174,-9.82
15,404,410,45.668426,13.298104,18.337585,-11.87
16,528,417,45.631204,14.001667,19.908649,-19.94
17,652,424,45.589362,14.704167,21.825008,-20.45
18,37,309,46.245263,11.212625,24.617929,-5.66
19,163,313,46.221720,11.925350,23.197010,-3.71
20,288,318,46.193484,12.637363,21.389538,-4.35
21,413,324,46.160561,13.348535,21.076433,-8.67
22,538,330,46.122963,14.058739,22.121817,-14.97
23,663,338,46.080699,14.767850,22.558245,-13.58
24,43,222,46.738506,11.243565,25.161610,-0.63
25,170,226,46.714724,11.963132,24.285027,-5.95
26,296,231,46.686201,12.681965,23.912079,-8.64
27,422,237,46.652946,13.399932,23.864618,-12.02
28,549,244,46.614967,14.116905,23.663822,-14.27
29,675,251,46.572277,14.832752,23.692749,-15.15
30,48,135,47.231974,11.275108,28.668926,1.95
31,176,139,47.207951,12.001647,28.246450,-0.74
32,304,144,47.179138,12.727432,27.121691,-7.42
33,432,150,47.145545,13.452326,26.746370,-10.77
34,559,157,47.107182,14.176196,24.969553,-11.89
35,686,165,47.064059,14.898907,24.894571,-15.19
36,54,48,47.725632,11.307269,30.296026,5.19
37,183,53,47.701364,12.040918,29.059689,0.51
38,312,58,47.672259,12.773790,29.925327,-4.08
39,441,64,47.638324,13.505744,29.001080,-9.68
40,570,70,47.599571,14.236644,26.871840,-12.73
41,698,78,47.556010,14.966352,27.424810,-13.56
